City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Quatre Cocos,MU,81.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
460,Port Moresby,PG,86.0,broken clouds,-9.44,147.18,Lamana Hotel
461,Caravelas,BR,75.79,broken clouds,-17.71,-39.25,Pousada dos Navegantes
462,Vanimo,PG,86.36,few clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
470,Yellandu,IN,78.75,clear sky,17.6,80.33,Chekuri Satyanarayana
472,Pitimbu,BR,77.0,few clouds,-7.47,-34.81,Reserva do Abiaí
475,Necochea,AR,70.0,heavy intensity rain,-38.55,-58.74,dyd -mar Hotel
477,Darlawn,IN,73.4,haze,24.02,92.9,BNRGSK BUILDING
482,The Valley,AI,78.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
486,Makakilo City,US,77.0,few clouds,21.35,-158.09,Residence Inn by Marriott Oahu Kapolei
490,Bellavista,PE,71.13,light rain,-7.06,-76.59,Hospedaje Bella Durmiente
494,Ambilobe,MG,88.86,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
495,Alta Floresta,BR,70.29,light rain,-9.88,-56.09,Floresta Amazonica Hotel
497,Amarante Do Maranhao,BR,71.33,light rain,-5.57,-46.74,Hotéis Caçulinha
498,Akyab,MM,76.55,clear sky,20.15,92.9,Hotel Memory
502,Dhekiajuli,IN,72.03,clear sky,26.7,92.5,LOKD Girls' Hostel
503,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
504,Lorengau,PG,84.04,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
505,Koumra,TD,72.41,overcast clouds,8.91,17.55,Motel Espoir
508,Vryburg,ZA,72.72,overcast clouds,-26.96,24.73,Times Premier Lodge
509,Manali,IN,84.2,haze,13.17,80.27,Sarathy Lodge
512,Semporna,MY,82.4,few clouds,4.48,118.61,"Han Palace Hotel, Semporna, Sabah."
515,Sumbe,AO,77.07,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
518,Winneba,GH,78.8,light rain,5.35,-0.62,Windy Lodge & Beach Resort
519,Iralaya,HN,77.95,light rain,15.0,-83.23,Iglesia morava renovada
520,Kirakira,SB,82.87,overcast clouds,-10.45,161.92,SanBiz Lodge
523,Kaeo,NZ,75.0,broken clouds,-35.1,173.78,Bushido Lodge
534,Jizan,SA,78.8,few clouds,17.33,42.67,شهدان. ابوالحجر
535,Cabo Rojo,PR,73.0,clear sky,18.09,-67.15,Hotel Perichi's
536,Toamasina,MG,78.8,shower rain,-18.17,49.38,Hotel H1
540,Conceicao Do Araguaia,BR,74.01,moderate rain,-8.26,-49.26,Tarumã Tropical Hotel
541,Saint Peter,BB,80.6,scattered clouds,13.25,-59.62,Legend Garden Condos
542,Tura,IN,74.41,clear sky,25.52,90.22,Hotel RIKMAN Continental
546,Tori Fatehpur,IN,72.52,clear sky,25.45,79.13,Nai mata tempil
547,Bubaque,GW,79.68,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
557,Jaciara,BR,72.27,moderate rain,-15.97,-54.97,Taba Hotel
558,Emilio Carranza,MX,70.99,few clouds,19.97,-96.61,casa carranza
563,Jodhpur,IN,73.9,clear sky,26.29,73.03,"Umaid Bhawan Palace, Jodhpur"
568,Mananara,MG,79.56,light rain,-16.17,49.77,androkaroka.les 3 arcs
574,Natal,BR,78.8,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
575,Koraput,IN,74.61,clear sky,18.82,82.72,Raj Residency
580,Lazaro Cardenas,MX,73.31,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
581,Malakal,SS,82.8,scattered clouds,9.53,31.66,Nile Palace Hotel
582,Sanchi,IN,73.4,few clouds,23.48,77.73,Hotel Sambodhi
583,Pyapon,MM,85.26,clear sky,16.28,95.68,Aung Naing Thu Motel
585,Waingapu,ID,85.69,light rain,-9.66,120.26,Pondok Wisata Elim
589,Ugoofaaru,MV,81.05,broken clouds,5.67,73.0,Ungoofaaru Inn
591,Inhambane,MZ,83.34,overcast clouds,-23.86,35.38,Oceano
594,Thayetmyo,MM,84.11,few clouds,19.32,95.18,Ngwe Sin Kyal Guest House
595,Belmonte,BR,75.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
597,Bela,IN,72.46,clear sky,25.93,81.98,Siddharth Hotel
599,Isangel,VU,81.32,broken clouds,-19.55,169.27,Volcano Sea View Tree House
600,Phangnga,TH,86.0,few clouds,8.45,98.53,Rattanapong Hotel
606,Cururupu,BR,74.5,few clouds,-1.83,-44.87,Pousada Través'cia
609,Manokwari,ID,84.36,broken clouds,-0.87,134.08,Swiss Belhotel Manokwari
611,Puerto Colombia,CO,78.8,few clouds,10.99,-74.95,Hotel El Emigrante
614,Banjarmasin,ID,87.8,heavy intensity rain,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
616,Manado,ID,87.8,scattered clouds,1.49,124.85,Aryaduta Hotel
621,Deniliquin,AU,81.0,clear sky,-35.53,144.97,Riviana Motel
629,Chapada Dos Guimaraes,BR,78.8,moderate rain,-15.46,-55.75,Pousada Morro Dos Ventos
634,Soyo,AO,78.24,overcast clouds,-6.13,12.37,Hotel Mpampa
640,Antalaha,MG,83.59,scattered clouds,-14.9,50.28,Hotel Vitasoa
642,Lethem,GY,76.96,overcast clouds,3.38,-59.8,Savannah Inn
646,Upata,VE,75.99,overcast clouds,8.01,-62.4,Posada Villa Nela
647,Mahudha,IN,71.6,smoke,22.82,72.93,Mastana Pav Bhaji and pulav
648,Puri,IN,75.2,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
650,Thakurgaon,BD,75.58,few clouds,26.03,88.47,"WAPDA Rest House, Thakurgaon"
657,Qui Nhon,VN,74.71,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
664,Swan Hill,AU,79.74,clear sky,-35.34,143.55,Lazy River Motor Inn
671,Odweyne,SO,72.19,broken clouds,9.41,45.06,Eng Hiirey House
675,Trairi,BR,78.78,broken clouds,-3.28,-39.27,janelas do mar
676,Tarakan,ID,78.51,light rain,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
677,Grand Gaube,MU,81.0,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
683,Asosa,ET,76.62,few clouds,10.07,34.53,Blendana Hotel Assosa
684,Kisangani,CD,74.52,overcast clouds,0.52,25.2,Grand Ramela Hotel
687,Bahia Honda,CU,70.5,broken clouds,22.9,-83.16,Casa Gualberto - Deysi
690,Sur,OM,74.52,clear sky,22.57,59.53,Sur Plaza Hotel
691,Tautira,PF,75.2,light rain,-17.73,-149.15,Pension Oaoa
692,Voi,KE,77.31,scattered clouds,-3.39,38.56,Voi Wildlife Lodge
697,San Andres,CO,82.4,light rain,12.58,-81.7,Hotel Arena Blanca
698,Boa Vista,BR,75.2,light rain,2.82,-60.67,Aipana Plaza Hotel
