City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
342,Eyl,SO,7.98,49.82,78.73,58,61,23.6,broken clouds
343,Itacare,BR,-14.28,-39.0,74.28,89,9,6.58,clear sky
344,Orange Cove,US,36.62,-119.31,42.8,100,90,4.7,mist
345,Ahipara,NZ,-35.17,173.17,69.57,73,78,10.02,broken clouds
346,Ambikapur,IN,23.12,83.2,70.72,26,35,5.39,scattered clouds
347,Kontagora,NG,10.4,5.47,67.05,32,3,3.62,clear sky
348,Viedma,AR,-40.81,-63.0,60.4,65,25,6.04,scattered clouds
349,Somerset,US,40.57,-74.55,42.8,41,90,11.41,overcast clouds
350,Aksarka,RU,66.56,67.8,-26.0,85,100,9.57,overcast clouds
351,Colwyn Bay,GB,53.29,-3.73,41.0,100,100,7.0,overcast clouds
352,Primorsk,UA,46.73,36.34,20.61,97,72,11.54,broken clouds
353,Margate,GB,51.38,1.39,53.01,92,100,4.0,overcast clouds
354,Mirassol,BR,-20.82,-49.52,73.4,83,40,5.82,scattered clouds
355,Sioux Lookout,CA,50.1,-91.92,17.6,92,90,5.82,light snow
356,Rio Cuarto,AR,-33.13,-64.35,69.01,50,0,11.01,clear sky
357,Roma,US,43.21,-75.46,28.99,63,20,16.11,few clouds
358,Kruisfontein,ZA,-34.0,24.73,75.0,80,100,4.0,light rain
359,Dudinka,RU,69.41,86.18,-41.8,72,40,6.71,haze
360,Sinnamary,GF,5.38,-52.95,77.45,87,98,10.85,overcast clouds
361,Mayo,US,38.89,-76.51,41.0,79,1,7.38,clear sky
362,Sokolo,ML,14.73,-6.12,58.59,35,36,10.42,scattered clouds
363,Vanino,RU,49.09,140.25,14.86,79,0,3.31,clear sky
364,Sinazongwe,ZM,-17.26,27.46,82.24,64,91,2.77,overcast clouds
